Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
BIOE,101,Intro to Bioengineering,22,8,2,1,0,1,0,0,0,5,Eddington
BIOE,101,Intro to Bioengineering,12,13,8,0,3,0,0,0,0,3,Felder
BIOE,102,Bioengineering Freshman Smnr,0,0,0,0,0,0,56,0,0,1,Shokuhfar
BIOE,205,Biothermodynamics,20,24,7,0,0,0,0,0,0,4,Ma
BIOE,240,Modeling Data and Systems,15,13,8,2,0,0,0,0,0,1,Esmailbeigi
BIOE,250,Problems in Bioengineering,32,0,0,0,0,0,0,0,0,2,Hetling
BIOE,310,Biosystems Analysis,16,3,2,1,1,0,0,0,0,1,Linninger
BIOE,325,Biotransport,9,21,10,0,1,0,0,0,0,1,Takoudis
BIOE,339,Biostatistics I,31,16,11,1,4,0,0,0,0,1,Dai
BIOE,396,Senior Design I,36,21,7,0,1,0,0,0,0,0,Kotche
BIOE,402,Medical Tech Assessment,42,2,1,0,0,0,0,0,0,0,Bogdanowicz
BIOE,421,Biomedical Imaging,12,13,4,0,0,0,0,0,0,0,Magin
BIOE,430,Bioinstrumentation I,0,0,0,0,0,0,26,0,0,0,Papautsky
BIOE,431,Bioinstrumentation I Lab,6,11,4,1,1,0,0,0,0,0,Felder
BIOE,460,Biomaterials,0,0,0,0,0,0,61,0,0,0,Shokuhfar
BIOE,470,Biomedical Optics,10,0,0,0,0,0,0,0,0,0,Stroscio
BIOE,472,Neural Models,5,3,7,1,1,0,0,0,0,0,Patton
BIOE,480,Intro to Bioinformatics,10,6,4,3,2,0,1,0,0,1,Ma
BIOE,481,Bioinformatics Laboratory,12,4,0,0,0,0,1,0,0,0,Liang
BIOE,504,Emerging Medical Tech,13,0,0,0,0,0,0,0,0,0,Layton
BIOE,525,Cellular Biomechanics,12,1,0,0,0,0,0,0,0,0,Lee
BIOE,530,Stats & Machine Learning,27,4,0,0,0,1,0,0,0,1,Dai
BIOE,575,Neural Engineering II,13,2,1,0,0,0,0,0,0,0,Esmailbeigi
BIOE,594,Quantitative Human Physiology,11,5,0,0,0,1,0,0,0,0,Khetani
BIOE,594,Elastography,15,1,1,0,0,0,0,0,0,0,Klatt
BIOE,594,Biodatabase,8,2,1,0,1,0,0,0,0,0,Lu
BIOE,594,Haptics I,11,0,0,0,0,0,0,0,0,0,Luciano
BIOE,594,Biomedical Implants,13,0,0,0,0,0,0,0,0,1,Mathew
BIOE,595,Seminar on Bioengineering,0,0,0,0,0,2,0,32,0,0,Khetani
CHE,201,Intro to Thermodynamics,13,18,19,3,2,0,0,0,0,1,Zdunek
CHE,205,Computational Methods in ChE,16,15,2,5,0,0,0,0,0,3,Mehraeen
CHE,210,Material & Energy Balances,7,7,7,5,2,0,0,0,0,2,Wedgewood
CHE,301,Chem Engr Thermodynamics,6,19,13,2,0,0,0,0,0,1,Caracotsios
CHE,311,Transport Phenomena I,1,3,17,17,31,0,0,0,0,0,Wedgewood
CHE,313,Transport Phenomena III,8,3,4,3,2,0,0,0,0,1,Ferdous
CHE,381,Chem Engr Lab I,14,0,0,0,0,0,0,0,0,0,Ferdous
CHE,381,Chem Engr Lab I,29,12,2,0,0,0,0,0,0,0,Zdunek
CHE,396,Senior Design I,48,15,0,0,1,0,0,0,0,0,Bilgin
CHE,410,Transport Phenomena,8,13,3,0,0,1,0,0,0,0,Sharma
CHE,422,Biochemical Engineering,18,7,1,1,1,0,0,0,0,1,Ferdous
CHE,425,Nanotechnology for Pharm Apps,12,0,0,0,0,0,0,0,0,0,Liu
CHE,433,Aspen Plus Process Simulation,35,1,0,0,0,0,0,0,0,0,Caracotsios
CHE,445,Chem Engr Methods,4,5,4,1,1,1,0,0,0,0,Singh
CHE,494,Renewable Energy Technologies,5,3,1,0,0,0,0,0,0,1,Al-Hallaj
CHE,494,Graphene & 2D Materials,12,2,0,0,0,0,0,0,0,1,Behura
CHE,499,Professional Develpmnt Seminar,0,0,0,0,0,0,0,64,0,0,Zdunek
CHE,502,Fluid Phase Equilibria,7,22,1,0,0,1,0,0,0,0,Kim
CHE,595,Advances In Chem Engr Research,26,0,0,0,0,0,0,0,0,0,Sharma
CME,201,Statics,21,30,52,28,16,0,0,0,0,5,Ataei
CME,203,Strength Of Materials,21,42,30,22,11,0,0,0,0,3,Karpov
CME,205,Structural Analysis I,16,19,5,3,2,0,0,0,0,1,Chi
CME,211,Fluid Mechanics and Hydraulics,0,0,0,0,0,0,37,0,0,0,Vitousek
CME,260,Properties Of Materials,24,35,30,1,4,1,0,0,0,4,Karpov
CME,261,Materials For Manufacturing,9,13,18,1,2,0,2,0,0,4,McNallan
CME,300,Concrete Properties&Compositn,19,11,1,0,0,0,0,0,0,1,Issa
CME,301,Behav & Dsgn Metal Struct,16,7,11,0,0,0,0,0,0,0,Ozevin
CME,302,Transportation Engr,11,27,4,0,0,0,0,0,0,0,Lin
CME,310,Reinforc Concrete Struc Design,16,15,10,7,0,0,0,0,0,2,Mahamid
